species,plot,endo_01,id,origin_01,dist_a,dist_b,birth,endo_status_from_check,year_t,size_t,flw_count_t,spike_a_t,spike_b_t,spike_c_t,spike_d_t,year_t1,surv_t1,size_t1,flw_count_t1,spike_a_t1,spike_b_t1,spike_c_t1,spike_d_t1
AGPE,111,1,2201,0,NA,NA,2007,NA,2007,3,NA,NA,NA,NA,NA,2008,1,4,0,NA,NA,NA,NA
AGPE,111,1,2201,0,NA,NA,2007,NA,2008,4,0,NA,NA,NA,NA,2009,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2202,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,13,0,NA,NA,NA,NA
AGPE,111,1,2202,0,NA,NA,2007,1,2008,13,0,NA,NA,NA,NA,2009,1,7,5,NA,NA,NA,NA
AGPE,111,1,2202,0,NA,NA,2007,1,2009,7,5,NA,NA,NA,NA,2010,1,24,NA,NA,NA,NA,NA
AGPE,111,1,2202,0,NA,NA,2007,1,2010,24,NA,NA,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2203,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,7,0,NA,NA,NA,NA
AGPE,111,1,2203,0,NA,NA,2007,1,2008,7,0,NA,NA,NA,NA,2009,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2204,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,9,0,NA,NA,NA,NA
AGPE,111,1,2204,0,NA,NA,2007,1,2008,9,0,NA,NA,NA,NA,2009,1,3,1,NA,NA,NA,NA
AGPE,111,1,2204,0,NA,NA,2007,1,2009,3,1,NA,NA,NA,NA,2010,1,5,NA,NA,NA,NA,NA
AGPE,111,1,2204,0,NA,NA,2007,1,2010,5,NA,NA,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2205,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,11,0,NA,NA,NA,NA
AGPE,111,1,2205,0,NA,NA,2007,1,2008,11,0,NA,NA,NA,NA,2009,1,11,11,NA,NA,NA,NA
AGPE,111,1,2205,0,NA,NA,2007,1,2009,11,11,NA,NA,NA,NA,2010,1,30,NA,NA,NA,NA,NA
AGPE,111,1,2205,0,NA,NA,2007,1,2010,30,NA,NA,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2206,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,13,0,NA,NA,NA,NA
AGPE,111,1,2206,0,NA,NA,2007,1,2008,13,0,NA,NA,NA,NA,2009,1,20,18,NA,NA,NA,NA
AGPE,111,1,2206,0,NA,NA,2007,1,2009,20,18,NA,NA,NA,NA,2010,1,43,NA,NA,NA,NA,NA
AGPE,111,1,2206,0,NA,NA,2007,1,2010,43,NA,NA,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2207,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,7,1,NA,NA,NA,NA
AGPE,111,1,2207,0,NA,NA,2007,1,2008,7,1,NA,NA,NA,NA,2009,1,22,22,NA,NA,NA,NA
AGPE,111,1,2207,0,NA,NA,2007,1,2009,22,22,NA,NA,NA,NA,2010,1,46,NA,NA,NA,NA,NA
AGPE,111,1,2207,0,NA,NA,2007,1,2010,46,NA,NA,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2208,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,8,2,NA,NA,NA,NA
AGPE,111,1,2208,0,NA,NA,2007,1,2008,8,2,NA,NA,NA,NA,2009,1,22,22,NA,NA,NA,NA
AGPE,111,1,2208,0,NA,NA,2007,1,2009,22,22,NA,NA,NA,NA,2010,1,45,NA,NA,NA,NA,NA
AGPE,111,1,2208,0,NA,NA,2007,1,2010,45,NA,NA,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2209,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,11,5,NA,NA,NA,NA
AGPE,111,1,2209,0,NA,NA,2007,1,2008,11,5,NA,NA,NA,NA,2009,1,21,13,NA,NA,NA,NA
AGPE,111,1,2209,0,NA,NA,2007,1,2009,21,13,NA,NA,NA,NA,2010,1,31,NA,NA,NA,NA,NA
AGPE,111,1,2209,0,NA,NA,2007,1,2010,31,NA,NA,NA,NA,NA,2011,1,6,0,NA,NA,NA,NA
AGPE,111,1,2209,0,NA,NA,2007,1,2011,6,0,NA,NA,NA,NA,2012,1,24,2,NA,NA,NA,NA
AGPE,111,1,2209,0,NA,NA,2007,1,2012,24,2,NA,NA,NA,NA,2013,1,28,13,NA,NA,NA,NA
AGPE,111,1,2209,0,NA,NA,2007,1,2013,28,13,NA,NA,NA,NA,2014,1,54,12,NA,NA,NA,NA
AGPE,111,1,2209,0,NA,NA,2007,1,2014,54,12,NA,NA,NA,NA,2015,1,13,6,NA,NA,NA,NA
AGPE,111,1,2209,0,NA,NA,2007,1,2015,13,6,NA,NA,NA,NA,2016,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2210,0,NA,NA,2007,NA,2007,3,NA,NA,NA,NA,NA,2008,1,10,0,NA,NA,NA,NA
AGPE,111,1,2210,0,NA,NA,2007,NA,2008,10,0,NA,NA,NA,NA,2009,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2211,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,14,1,NA,NA,NA,NA
AGPE,111,1,2211,0,NA,NA,2007,1,2008,14,1,NA,NA,NA,NA,2009,1,17,15,NA,NA,NA,NA
AGPE,111,1,2211,0,NA,NA,2007,1,2009,17,15,NA,NA,NA,NA,2010,1,20,NA,NA,NA,NA,NA
AGPE,111,1,2211,0,NA,NA,2007,1,2010,20,NA,NA,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2212,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,11,1,NA,NA,NA,NA
AGPE,111,1,2212,0,NA,NA,2007,1,2008,11,1,NA,NA,NA,NA,2009,1,20,20,NA,NA,NA,NA
AGPE,111,1,2212,0,NA,NA,2007,1,2009,20,20,NA,NA,NA,NA,2010,1,38,NA,NA,NA,NA,NA
AGPE,111,1,2212,0,NA,NA,2007,1,2010,38,NA,NA,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2213,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,7,0,NA,NA,NA,NA
AGPE,111,1,2213,0,NA,NA,2007,1,2008,7,0,NA,NA,NA,NA,2009,1,14,14,NA,NA,NA,NA
AGPE,111,1,2213,0,NA,NA,2007,1,2009,14,14,NA,NA,NA,NA,2010,1,26,NA,NA,NA,NA,NA
AGPE,111,1,2213,0,NA,NA,2007,1,2010,26,NA,NA,NA,NA,NA,2011,1,2,0,NA,NA,NA,NA
AGPE,111,1,2213,0,NA,NA,2007,1,2011,2,0,NA,NA,NA,NA,2012,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2214,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,10,1,NA,NA,NA,NA
AGPE,111,1,2214,0,NA,NA,2007,1,2008,10,1,NA,NA,NA,NA,2009,1,14,14,NA,NA,NA,NA
AGPE,111,1,2214,0,NA,NA,2007,1,2009,14,14,NA,NA,NA,NA,2010,1,34,NA,NA,NA,NA,NA
AGPE,111,1,2214,0,NA,NA,2007,1,2010,34,NA,NA,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA
AGPE,111,1,2215,0,NA,NA,2007,1,2007,3,NA,NA,NA,NA,NA,2008,1,7,1,NA,NA,NA,NA
AGPE,111,1,2215,0,NA,NA,2007,1,2008,7,1,NA,NA,NA,NA,2009,1,3,1,NA,NA,NA,NA
AGPE,111,1,2215,0,NA,NA,2007,1,2009,3,1,NA,NA,NA,NA,2010,1,6,NA,NA,NA,NA,NA
