"","species","plot","endo_01","id","original","endo_status_from_check","birth","year_t","age","size_t","flw_count_t","mean_spike_t","year_t1","surv_t1","size_t1","flw_count_t1","mean_spike_t1"
"1","AGPE",111,1,"2201",1,NA,2007,2007,NA,3,0,NA,2008,1,4,0,NA
"2","AGPE",111,1,"2201",1,NA,2007,2008,NA,4,0,NA,2009,0,NA,NA,NA
"3","AGPE",111,1,"2202",1,1,2007,2007,NA,3,0,NA,2008,1,13,0,NA
"4","AGPE",111,1,"2202",1,1,2007,2008,NA,13,0,NA,2009,1,7,5,NA
"5","AGPE",111,1,"2202",1,1,2007,2009,NA,7,5,NA,2010,1,24,0,NA
"6","AGPE",111,1,"2202",1,1,2007,2010,NA,24,0,NA,2011,0,NA,NA,NA
"7","AGPE",111,1,"2203",1,1,2007,2007,NA,3,0,NA,2008,1,7,0,NA
"8","AGPE",111,1,"2203",1,1,2007,2008,NA,7,0,NA,2009,0,NA,NA,NA
"9","AGPE",111,1,"2204",1,1,2007,2007,NA,3,0,NA,2008,1,9,0,NA
"10","AGPE",111,1,"2204",1,1,2007,2008,NA,9,0,NA,2009,1,3,1,NA
"11","AGPE",111,1,"2204",1,1,2007,2009,NA,3,1,NA,2010,1,5,0,NA
"12","AGPE",111,1,"2204",1,1,2007,2010,NA,5,0,NA,2011,0,NA,NA,NA
"13","AGPE",111,1,"2205",1,1,2007,2007,NA,3,0,NA,2008,1,11,0,NA
"14","AGPE",111,1,"2205",1,1,2007,2008,NA,11,0,NA,2009,1,11,11,NA
"15","AGPE",111,1,"2205",1,1,2007,2009,NA,11,11,NA,2010,1,30,0,NA
"16","AGPE",111,1,"2205",1,1,2007,2010,NA,30,0,NA,2011,0,NA,NA,NA
"17","AGPE",111,1,"2206",1,1,2007,2007,NA,3,0,NA,2008,1,13,0,NA
"18","AGPE",111,1,"2206",1,1,2007,2008,NA,13,0,NA,2009,1,20,18,NA
"19","AGPE",111,1,"2206",1,1,2007,2009,NA,20,18,NA,2010,1,43,0,NA
"20","AGPE",111,1,"2206",1,1,2007,2010,NA,43,0,NA,2011,0,NA,NA,NA
"21","AGPE",111,1,"2207",1,1,2007,2007,NA,3,0,NA,2008,1,7,1,NA
"22","AGPE",111,1,"2207",1,1,2007,2008,NA,7,1,NA,2009,1,22,22,NA
"23","AGPE",111,1,"2207",1,1,2007,2009,NA,22,22,NA,2010,1,46,0,NA
"24","AGPE",111,1,"2207",1,1,2007,2010,NA,46,0,NA,2011,0,NA,NA,NA
"25","AGPE",111,1,"2208",1,1,2007,2007,NA,3,0,NA,2008,1,8,2,NA
"26","AGPE",111,1,"2208",1,1,2007,2008,NA,8,2,NA,2009,1,22,22,NA
"27","AGPE",111,1,"2208",1,1,2007,2009,NA,22,22,NA,2010,1,45,0,NA
"28","AGPE",111,1,"2208",1,1,2007,2010,NA,45,0,NA,2011,0,NA,NA,NA
"29","AGPE",111,1,"2209",1,1,2007,2007,NA,3,0,NA,2008,1,11,5,NA
